case_name,provider,model,success,tools_called,tokens_in,tokens_out,latency_ms,cost_usd,error
play_jazz,anthropic,claude-sonnet-4-6,true,search_music|play_music,6974,135,4686,0.02295,
play_jazz,openai,gpt-5-mini-2025-08-07,true,search_music|play_music,4025,101,6377,0.00121,
play_classical,anthropic,claude-sonnet-4-6,true,search_music|play_music,6980,137,5160,0.02300,
play_classical,openai,gpt-5-mini-2025-08-07,true,search_music|play_music,4038,165,4739,0.00134,
play_ambient,anthropic,claude-sonnet-4-6,true,search_music|play_music,6980,139,7318,0.02303,
play_ambient,openai,gpt-5-mini-2025-08-07,true,search_music|play_music,4026,111,3675,0.00123,
play_album_thriller_explicit,anthropic,claude-sonnet-4-6,true,search_music|play_music,6985,139,5281,0.02304,
play_album_thriller_explicit,openai,gpt-5-mini-2025-08-07,true,search_music|play_music,4035,138,5191,0.00128,
play_artist_queen,anthropic,claude-sonnet-4-6,true,search_music|play_music,6971,135,4341,0.02294,
play_artist_queen,openai,gpt-5-mini-2025-08-07,true,search_music|play_music,4008,210,5998,0.00142,
play_bohemian_rhapsody,anthropic,claude-sonnet-4-6,true,search_music|play_music,7051,156,4393,0.02349,
play_bohemian_rhapsody,openai,gpt-5-mini-2025-08-07,true,search_music|play_music,4068,187,5025,0.00139,
lights_on_kitchen,anthropic,claude-sonnet-4-6,true,control_lights,4537,79,3474,0.01480,
lights_on_kitchen,openai,gpt-5-mini-2025-08-07,true,control_lights,2614,236,4697,0.00113,
lights_off_bedroom,anthropic,claude-sonnet-4-6,true,control_lights,4537,80,3082,0.01481,
lights_off_bedroom,openai,gpt-5-mini-2025-08-07,true,control_lights,2614,162,3970,0.00098,
dim_living_room,anthropic,claude-sonnet-4-6,true,control_lights,4551,85,3104,0.01493,
dim_living_room,openai,gpt-5-mini-2025-08-07,true,control_lights,2623,207,4191,0.00107,
brightness_only_kitchen,anthropic,claude-sonnet-4-6,true,control_lights,4545,81,3196,0.01485,
brightness_only_kitchen,openai,gpt-5-mini-2025-08-07,true,control_lights,2621,164,3571,0.00098,
climate_bedroom,anthropic,claude-sonnet-4-6,true,set_climate,4561,85,3399,0.01496,
climate_bedroom,openai,gpt-5-mini-2025-08-07,true,set_climate,2638,152,4133,0.00096,
climate_living_room_warm,anthropic,claude-sonnet-4-6,true,set_climate,4565,88,3909,0.01501,
climate_living_room_warm,openai,gpt-5-mini-2025-08-07,true,set_climate,2636,211,4707,0.00108,
climate_fahrenheit,anthropic,claude-sonnet-4-6,true,set_climate,4565,89,2930,0.01503,
climate_fahrenheit,openai,gpt-5-mini-2025-08-07,true,set_climate,2638,547,8757,0.00175,
query_music,anthropic,claude-sonnet-4-6,true,query_state,4550,69,2753,0.01469,
query_music,openai,gpt-5-mini-2025-08-07,true,query_state,2634,194,3986,0.00105,
query_kitchen_light,anthropic,claude-sonnet-4-6,true,query_state,4564,69,2528,0.01473,
query_kitchen_light,openai,gpt-5-mini-2025-08-07,true,query_state,2651,207,4169,0.00108,
query_bedroom_climate,anthropic,claude-sonnet-4-6,true,query_state,4563,68,2936,0.01471,
query_bedroom_climate,openai,gpt-5-mini-2025-08-07,true,query_state,2647,241,7883,0.00114,
parallel_dim_and_jazz,anthropic,claude-sonnet-4-6,true,control_lights|search_music|play_music,7230,207,5918,0.02480,
parallel_dim_and_jazz,openai,gpt-5-mini-2025-08-07,true,control_lights|search_music|play_music,4137,553,9959,0.00214,
parallel_kitchen_off_living_off,anthropic,claude-sonnet-4-6,true,control_lights|control_lights,4653,137,3322,0.01601,
parallel_kitchen_off_living_off,openai,gpt-5-mini-2025-08-07,true,control_lights|control_lights,2660,294,5656,0.00125,
parallel_climate_and_lights,anthropic,claude-sonnet-4-6,true,set_climate|control_lights,4679,143,3662,0.01618,
parallel_climate_and_lights,openai,gpt-5-mini-2025-08-07,true,set_climate|control_lights,2688,447,6744,0.00157,
thriller_disambig,anthropic,claude-sonnet-4-6,true,search_music|ask_user|play_music,9639,243,6864,0.03256,
thriller_disambig,openai,gpt-5-mini-2025-08-07,true,search_music|ask_user|play_music,5599,626,10367,0.00265,
no_match_lady_gaga,anthropic,claude-sonnet-4-6,true,search_music|search_music,6921,154,4847,0.02307,
no_match_lady_gaga,openai,gpt-5-mini-2025-08-07,true,search_music,2607,397,9341,0.00145,
outside_scope_weather,anthropic,claude-sonnet-4-6,true,,2226,30,1632,0.00713,
outside_scope_weather,openai,gpt-5-mini-2025-08-07,true,,1287,325,4678,0.00097,
cancel_during_play_jazz,anthropic,claude-sonnet-4-6,true,search_music,2223,71,1818,0.00773,
cancel_during_play_jazz,openai,gpt-5-mini-2025-08-07,true,search_music,1285,197,3421,0.00072,
